fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia
20210907 030647	-0.308678847355663	2903	411	11	5	5013750
20210907 030746	-0.570790420564343	1357	189	13	5	5303750
20210907 030825	-0.999700276480622	1325	483	7	5	5077500
20210907 030910	-0.450932238513176	7999	2000	12	5	2630000
20210907 031013	-0.808839314488415	1368	188	14	5	5303750
20210907 031128	-0.852163434019975	1841	179	18	5	4975000
20210907 031231	-0.856231728389144	2428	360	17	5	4937500
20210907 031345	-0.150166183203128	1344	198	18	5	5268750
20210907 031428	-0.577124408546486	1082	401	8	5	4987500
20210907 031515	-0.589242716987603	1788	569	9	5	5025000
20210907 031612	-0.997152470854511	1390	185	12	5	5062500
20210907 031718	-0.365563597841038	1400	425	19	5	5061250
20210907 031809	-0.460157087706475	7999	1065	19	5	2630000
20210907 031912	-0.861600710194063	1281	396	18	5	5153750
20210907 032012	-0.233038631238131	2565	622	19	5	4968750
20210907 032055	-0.127479270849746	1281	218	8	5	5226250
20210907 032203	-0.925462395298455	1335	195	16	5	5268750
20210907 032246	-0.139864127984819	1982	990	8	5	4276250
20210907 032317	-0.999846822289007	8000	927	6	5	2630000
20210907 032403	-0.162924181284056	1356	177	9	5	5417500
20210907 032502	-0.107944429817898	1953	379	13	5	5065000
20210907 032557	-0.721894535084833	2896	1447	16	5	3771250
20210907 032627	-0.998819625898943	1950	969	5	5	2585000
20210907 032716	-0.155053729218989	2661	618	10	5	4897500
20210907 032758	-0.156906454689456	2407	169	8	5	4577500
20210907 032858	-0.829927539987536	1286	602	14	5	4515000
20210907 032946	-0.998867781780364	4005	1999	11	5	2117500
20210907 033045	-0.999334556538025	2282	757	20	5	4693750
20210907 033149	-0.937709038626087	1740	392	19	5	5215000
20210907 033250	-0.321975821341482	1868	591	20	5	5031250
20210907 033401	-0.711653960871829	1314	188	8	5	5545000
20210907 033421	-0.070727681712729	6577	382	3	5	2630000
20210907 033504	-0.158220983179017	1364	370	8	5	5193750
20210907 033655	-0.163647892494141	1861	516	8	5	4963750
20210907 033736	0.0996895193371698	3295	828	3	5	0
20210907 033837	-0.500235409263879	1389	371	14	5	5062500
20210907 033931	-0.669760824866213	1311	190	11	5	5367500
20210907 034035	-0.727657886155657	1672	402	16	5	5157500
20210907 034133	-0.355722581197796	2617	527	13	5	4937500
20210907 034233	-0.632702168389523	1498	749	20	5	4763750
20210907 034333	-0.644372810932175	2722	629	19	5	4968750
20210907 034419	-0.99988538956822	7998	2000	15	5	2630000
20210907 034524	-0.999715202574994	2690	428	19	5	5013750
20210907 034559	-0.617752281660291	315	156	6	5	4218750
20210907 034707	-0.658210216202968	1310	165	15	5	5370000
20210907 034805	-0.348285705248565	1318	186	12	5	5140000
20210907 034849	-0.409592423021208	1258	564	8	5	4817500
20210907 034941	-0.998038931993245	2692	635	11	5	4968750
20210907 035041	-0.226286374259233	1968	701	18	5	4936250
20210907 035128	-0.775152709350103	1296	179	9	5	5440000
