fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	lambda_l1	prob_corte	lambda_l2	ganancia
20211011 023946	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	23	TRUE	0.0527255186926673	0.395692893091057	1853	343	0.388796071754768	0.030361468308547	4.02467991558037	7325000
20211011 024344	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	110	TRUE	0.0372687941410446	0.414731166957478	703	928	0.817141398080691	0.0348398271403857	0.350260584673379	7780000
20211011 024840	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	219	TRUE	0.0656034858247066	0.669209994721626	4089	559	0.0655670036462003	0.0449788449029438	4.5450314503978	8028750
20211011 025420	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	114	TRUE	0.0117156422605538	0.253131764481909	3149	221	0.877044418893222	0.0255621748502017	3.63904838932545	6522500
20211011 025640	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	68	TRUE	0.091785509509999	0.616854537318328	975	90	0.588118808360637	0.0517859215391218	1.44007555080212	7766250
20211011 025806	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	8	TRUE	0.0575478752036413	0.630396224072735	7709	712	0.0987183560334545	0.0203733896685299	4.94125458453449	4508750
20211011 031013	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	496	TRUE	0.0166085192657608	0.918148212074967	2610	749	0.709864760166965	0.0490744366645231	2.6902584117488	8073750
20211011 031408	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	212	TRUE	0.0336733075358539	0.211746136232146	3066	822	0.275069729691105	0.0484916882324615	1.64320873346047	7950000
20211011 031636	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	122	TRUE	0.0771509862728583	0.30943660787972	2150	44	0.917385666622847	0.0350227414563415	4.27117557946726	7491250
20211011 032334	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	526	TRUE	0.0888118427240988	0.839632362938885	3989	470	0.95131680005995	0.0275432223890675	1.06372951430136	7448750
