fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	lambda_l1	lambda_l2	max_bin	ratio_corte	iteracion_bayesiana	ganancia
20211014 201054	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	99	TRUE	0.0200687566808007	0.258863139010158	7442	166	17	92	19	0.0354508528919059	154	7820624.9575625
20211014 201121	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	71	TRUE	0.0200030569130965	0.22369158114435	6934	441	4	23	19	0.03428664917784	155	7938874.958725
20211014 201146	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	56	TRUE	0.0200010656724395	0.161913281018817	3060	909	4	25	19	0.0360032123194583	156	7806874.956675
20211014 201206	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	77	TRUE	0.096880328974961	0.10041122013926	2882	888	9	68	20	0.0335133459813912	157	7789624.9594375
20211014 201224	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	37	TRUE	0.0937828482280636	0.220092086830212	5914	963	4	90	20	0.0342675290462566	158	7849624.958125
20211014 201243	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	68	TRUE	0.0929413177039905	0.100528017459728	3349	706	20	94	20	0.0336493113790079	159	7902624.958975
20211014 201308	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	67	TRUE	0.0200255508748705	0.174909401867109	7973	702	1	51	19	0.0349367337341062	160	7849249.957775
20211014 201320	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	8	TRUE	0.0944502725145629	0.273171846275099	2049	316	20	23	19	0.0355400801837466	161	7778999.9571625
20211014 201350	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	89	TRUE	0.0200158715349953	0.282376522992208	7057	706	6	12	20	0.0344013699794501	162	7832749.9597625
20211014 201407	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	20	TRUE	0.0957446673922485	0.999899451688624	5270	734	15	86	20	0.0355910672113583	163	7836999.9564
20211014 201422	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	38	TRUE	0.0998755401767932	0.11671509990534	7998	722	17	30	20	0.0327527895434385	164	7764874.9592375
20211014 201458	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	142	TRUE	0.0200295436124733	0.182407139146595	6927	9	20	47	19	0.0337640321829549	165	7867999.9590125
20211014 201515	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	36	TRUE	0.0633278612464508	0.217047375013681	7999	410	6	28	19	0.0359692209689919	166	7884499.9572125
20211014 201535	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	23	TRUE	0.0969728145959954	0.997693119370052	3009	50	4	50	20	0.0319412460761747	167	7816874.9600625
20211014 201552	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	18	TRUE	0.0674723900078307	0.969331738762468	3358	721	4	86	20	0.0355953161295823	168	7844749.957175
20211014 201609	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	TRUE	0.0983964312032511	0.159623722067973	7998	667	6	89	19	0.0340954478375743	169	7810749.9565625
20211014 201637	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	74	TRUE	0.0203887181178121	0.231190339604662	7185	400	12	0	19	0.0347285367194571	170	7883124.95805
20211014 201653	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	TRUE	0.0958589649730741	0.585791443213266	3817	21	19	94	19	0.0361306798789273	171	7767124.956675
20211014 201714	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	67	TRUE	0.0925597869179529	0.100054810187701	4703	521	17	17	19	0.0358460023309336	172	7915124.956225
20211014 201746	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	87	TRUE	0.0200317195140242	0.786120238468054	2467	358	13	52	20	0.0358290066535759	173	7860624.957
20211014 201807	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	29	TRUE	0.0386045388022821	0.999044109008036	1468	8	12	57	20	0.0366745414685444	174	7801749.956025
20211014 201822	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	30	TRUE	0.0646334714646767	0.139816342972199	5092	741	12	18	19	0.0367127817346855	175	7846124.9570375
20211014 201840	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	45	TRUE	0.0887595523325315	0.160600655199967	575	402	4	15	20	0.0353276342551223	176	7973374.9562125
20211014 201853	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	12	TRUE	0.0897099468732272	0.110157680805487	121	8	4	22	19	0.0379449681490468	177	7588374.9543625
20211014 201920	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	51	TRUE	0.0558794626976882	0.782941639927865	777	452	5	20	20	0.0370102060384136	178	7761874.9568875
