fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211012 002858	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	248	TRUE	0.0213065650464222	0.747791009467328	6433	551	0.0356399297821948	51	7782124.9541625
20211012 003222	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	131	TRUE	0.0409018736214377	0.376415696164896	1294	287	0.0261669656398768	52	8211374.9584
20211012 003545	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	105	TRUE	0.0422557485220022	0.702888414803846	3257	821	0.0310149818255712	53	7993124.95665
20211012 003918	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	97	TRUE	0.0345463115403242	0.774507116683223	2214	381	0.0343758764849769	54	8070624.9544375
20211012 004201	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	71	TRUE	0.0836279674101062	0.574220833522803	4031	147	0.0274416412345669	55	7719874.959625
20211012 004617	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	133	TRUE	0.0230178534369729	0.717083923432464	3421	297	0.0311551961394999	56	7906874.956875
20211012 004907	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	102	TRUE	0.0511658328520507	0.641769715448329	6454	399	0.0299570010794291	57	8055624.95725
20211012 005053	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	69	TRUE	0.062754511849042	0.253027120539756	2444	143	0.0324936055175361	58	7797124.9560625
20211012 005323	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	42	TRUE	0.0544359231992438	0.901190532360016	1320	354	0.0359777188130881	59	7777124.955
20211012 005454	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	58	TRUE	0.0742000196274742	0.199155518839578	1421	363	0.025529627835521	60	7496499.9611375
20211012 005923	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	160	TRUE	0.0291967079264298	0.908304028430372	3758	574	0.0299315075679601	61	7842499.9573625
