fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	lambda_l1	lambda_l2	ratio_corte	iteracion_bayesiana	ganancia
20211012 193531	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	295	TRUE	0.0271798386014125	0.805523951720291	5211	731	27	172	0.0265578661398607	17	7946249.962875
20211012 194215	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	247	TRUE	0.0345542695513965	0.466032205314453	1996	588	32	5	0.0273736585310847	18	7949374.96025
20211012 194449	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	102	TRUE	0.0351193344556862	0.834183709859887	6319	273	83	192	0.0312189299028761	19	7108124.961875
20211012 194948	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	295	TRUE	0.0262815168497909	0.212471224289038	2882	761	17	96	0.0265238747966175	20	7917374.96125
20211012 195529	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	215	TRUE	0.0311739796614274	0.44231275638061	6067	203	15	90	0.0328505146751266	21	7761874.9585625
20211012 200650	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	413	TRUE	0.033759494551244	0.585601316997781	1457	902	34	177	0.0285888492657514	22	8039124.95965
20211012 201014	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	142	TRUE	0.0268309396638166	0.295399245610073	6034	538	85	199	0.0340827010739793	23	7224374.9614625
20211012 201455	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	161	TRUE	0.0368036057464681	0.513802010451521	2343	74	93	105	0.0271824571793469	24	7512499.9643
20211012 202409	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	497	TRUE	0.0259094081679359	0.627266556526107	5668	1021	37	31	0.0284103946801579	25	7748374.9606125
20211012 203018	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	217	TRUE	0.033489486002318	0.805138892587947	2196	705	5	96	0.0306495748145368	26	8015624.9584375
20211012 204053	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	340	TRUE	0.0259904219552808	0.552457276510465	2385	686	8	145	0.0322301725557765	27	8001124.95755
20211012 204538	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	129	TRUE	0.0295498343539148	0.744611120071263	3079	800	10	1	0.0295745983978353	28	8236874.9583875
20211012 205012	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	138	TRUE	0.0294152012616241	0.817407480467123	1572	445	10	48	0.0350939437315536	29	8026999.9561
20211012 205634	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	193	TRUE	0.0311044205347034	0.548242522263557	3550	838	7	16	0.0330714584554951	30	8034374.955425
20211012 215708	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	451	TRUE	0.0290155647688056	0.776622264318734	3312	807	10	76	0.037290634679018	31	8297374.954
20211012 221218	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	263	TRUE	0.0307047867274504	0.805925584485883	2784	786	19	130	0.0317627914980168	32	8030624.9574875
20211012 222323	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	329	TRUE	0.0253654517784965	0.753683308355446	4078	712	10	7	0.0328420168493007	33	8112499.9552375
20211012 223358	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	320	TRUE	0.0288555285200475	0.621097273745759	2528	806	4	72	0.0376411704679826	34	8086249.9541375
20211012 224212	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	323	TRUE	0.0281576610656352	0.714375627242941	3118	436	10	68	0.0332839043885808	35	8127499.9542625
20211012 225231	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	426	TRUE	0.0294770042614227	0.764760806799716	3913	722	2	82	0.0314866117956065	36	7952999.9562875
20211012 230120	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	275	TRUE	0.0286083426598744	0.602302673653368	2727	802	10	62	0.0373586173812255	37	8086374.9529375
20211012 235927	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	381	TRUE	0.0253995766703359	0.794560223854049	3272	771	8	82	0.0347242878090935	38	8336124.955425
20211013 001846	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	390	TRUE	0.0266964409284231	0.782830048785299	3227	866	8	168	0.0324362451106763	39	8202499.9575
